COUNTY,DOSAGE_UNIT_2010,DOSAGE_UNIT_2011,DOSAGE_UNIT_2012
KANAWHA,14046220.0,14739690.0,16112710.0
RALEIGH,7226630.0,8892040.0,9961050.0
GREENBRIER,3613330.0,3812370.0,4028270.0
WETZEL,1222990.0,1116280.0,1107820.0
PUTNAM,2958090.0,3141460.0,3333530.0
OHIO,2290650.0,2556520.0,2686250.0
MCDOWELL,2064070.0,2242610.0,2219410.0
HAMPSHIRE,837040.0,939570.0,990790.0
PENDLETON,233910.0,253840.0,252860.0
MINERAL,1278820.0,1314980.0,1296310.0
HARDY,529600.0,514800.0,515540.0
MERCER,4440660.0,5055230.0,5372100.0
GRANT,341160.0,377840.0,379870.0
JEFFERSON,2386360.0,2457960.0,2412270.0
BERKELEY,5223490.0,5387020.0,5892270.0
MORGAN,732770.0,775670.0,837170.0
WOOD,6053570.0,6520870.0,6678430.0
MONROE,378170.0,390310.0,407430.0
MINGO,3162950.0,2863950.0,3050950.0
HARRISON,5983850.0,6492890.0,6651780.0
LOGAN,6260230.0,6768760.0,6587260.0
FAYETTE,3027700.0,3071790.0,3323830.0
JACKSON,1748770.0,1817880.0,1822560.0
WAYNE,2010060.0,1914650.0,1990300.0
RITCHIE,367280.0,442220.0,482070.0
BARBOUR,945110.0,969850.0,1027940.0
NICHOLAS,2844260.0,3145580.0,3138780.0
BOONE,2884440.0,2962350.0,3072190.0
HANCOCK,3135470.0,3169370.0,3278930.0
MONONGALIA,3958427.0,4160910.0,4405790.0
PRESTON,852480.0,952670.0,1006640.0
UPSHUR,851810.0,897560.0,910980.0
WYOMING,2860540.0,3182580.0,3272190.0
LINCOLN,1578850.0,1689960.0,1610990.0
CABELL,9923700.0,9841420.0,9036260.0
CLAY,397710.0,371830.0,343820.0
MARION,3285798.0,3498790.0,3552560.0
RANDOLPH,1590630.0,1755380.0,1816760.0
LEWIS,971850.0,985310.0,996020.0
MARSHALL,2814360.0,2780840.0,2795640.0
BRAXTON,913710.0,920260.0,882580.0
MASON,2529570.0,2452150.0,2177170.0
TAYLOR,545610.0,605890.0,604490.0
ROANE,840760.0,834750.0,847880.0
SUMMERS,740480.0,767850.0,814600.0
TYLER,395730.0,315890.0,325650.0
GILMER,307159.0,308740.0,306790.0
BROOKE,1521570.0,1449070.0,1461380.0
CALHOUN,183560.0,208890.0,220750.0
PLEASANTS,478860.0,508700.0,490850.0
DODDRIDGE,150400.0,158300.0,180860.0
TUCKER,114750.0,126550.0,143650.0
WIRT,119700.0,140200.0,164720.0
WEBSTER,447420.0,414930.0,434300.0
POCAHONTAS,300030.0,309370.0,322500.0
